datap,median,total,size,clade,numtaxa
Lefevre_etal_2014a.nex,0.728557013,0.66318016,991,Dinosaurs,1
Wang_etal_2016ba.nex,0.728557013,0.66318016,991,Dinosaurs,1
Davenport_etal_2006aa.nex,0.578203835,0.498580245,991,Primates,0.941860465
Ruta_etal_2003ba.nex,0.86691023,0.820874979,958,Fish_sarcopterygians,0.995575221
Fonseca_etal_2024a.nex,0.629237288,0.590498128,944,Dinosaurs,1
Asher_etal_2010aa.nex,0,0.001861993,913,Afroinsectiphilians,0.1
Ely_et_Case_2019a.nex,0.708287293,0.672832092,905,Dinosaurs,1
Gianechini_etal_2018a.nex,0.70718232,0.670994475,905,Dinosaurs,1
Muller_etal_2023a.nex,0.659550562,0.604278475,890,Non_dinosaur_archosauro,1
Ezcurra_et_Sues_2021a.nex,0.652418448,0.601936714,889,Non_dinosaur_archosauro,1
Yu_etal_2018aa.nex,0.699074074,0.659555798,864,Dinosaurs,1
Brownstein_2019a.nex,0.69244186,0.650131783,860,Dinosaurs,1
Cau_etal_2015aa.nex,0.695348837,0.65619645,860,Dinosaurs,1
Jasinski_etal_2020ab.nex,0.697674419,0.662190787,860,Dinosaurs,1
Averianov_et_Lopatin_2023aa.nex,0.691676436,0.656065935,853,Dinosaurs,1
Averianov_etal_2021bb.nex,0.697538101,0.659932685,853,Dinosaurs,1
Brownstein_2021aa.nex,0.691676436,0.656250666,853,Dinosaurs,1
Brusatte_etal_2014a.nex,0.695779601,0.655658049,853,Dinosaurs,1
Brusatte_etal_2016a.nex,0.697538101,0.659932685,853,Dinosaurs,1
Czepinski_2023aa.nex,0.695193435,0.657534936,853,Dinosaurs,1
Ding_etal_2020a.nex,0.695779601,0.655658049,853,Dinosaurs,1
Hu_etal_2018ab.nex,0.695193435,0.655487361,853,Dinosaurs,1
Napoli_etal_2021a.nex,0.695193435,0.65697975,853,Dinosaurs,1
Nesbitt_etal_2019ac.nex,0.696951934,0.657191577,853,Dinosaurs,1
OConnor_etal_2020aa.nex,0.694607268,0.654154362,853,Dinosaurs,1
Pei_etal_2020a.nex,0.690504103,0.654276156,853,Dinosaurs,1
Pittman_etal_2020aa.nex,0.690504103,0.654276156,853,Dinosaurs,1
Pol_et_Goloboff_2020a.nex,0.690504103,0.654276156,853,Dinosaurs,1
Qiu_etal_2019ab.nex,0.696365768,0.656736317,853,Dinosaurs,1
Shen_etal_2017a.nex,0.696951934,0.656750049,853,Dinosaurs,1
Turner_etal_2021a.nex,0.698710434,0.659799434,853,Dinosaurs,1
Xu_etal_2023b.nex,0.678780774,0.648693235,853,Dinosaurs,1
Zanno_etal_2019aa.nex,0.697183099,0.658664106,852,Dinosaurs,1
Mongiardino_Koch_et_Gauthier_2018aa.nex,0.235849057,0.263176784,848,Squamata,1
Conrad_2018a.nex,0.702751196,0.667105263,836,Squamata,1
Brocklehurst_etal_2015ae.nex,0.933655006,0.903159173,829,Non_saurian_diapsids,0.996732026
Ezcurra_etal_2020b.nex,0.616038882,0.584083877,823,Non_dinosaur_archosauro,1
Foffa_etal_2022a.nex,0.594167679,0.582849671,823,Non_dinosaur_archosauro,1
Foffa_etal_2024a.nex,0.54799514,0.525958928,823,Non_dinosaur_archosauro,1
Nesbitt_etal_2023a.nex,0.603888214,0.58414031,823,Non_dinosaur_archosauro,1
Cau_etal_2013a.nex,0.564259486,0.514770585,817,Dinosaurs,1
Fanti_etal_2014bb.nex,0.566707466,0.539183379,817,Dinosaurs,1
Paulina-Carabajal_et_Coria_2015a.nex,0.565967941,0.514846536,811,Dinosaurs,1
Springer_etal_2012a.nex,0.574074074,0.568233108,810,Primates,0.838709677
Cau_etal_2012a.nex,0.566831683,0.514751137,808,Dinosaurs,1
Conrad_2015a.nex,0.584059776,0.533909604,803,Squamata,1
Hsiang_etal_2015a.nex,0.377091377,0.406498475,777,Squamata,1
Langer_etal_2022a.nex,0.392347601,0.428231734,771,Dinosaurs,1
Moro_etal_2024ab.nex,0.407263294,0.436108949,771,Dinosaurs,1
Halliday_etal_2019aa.nex,0.573529412,0.527028103,748,Meso_mammals,1
Halliday_etal_2019ab.nex,0.573529412,0.525219024,748,Meso_mammals,1
Baiano_etal_2020aa.nex,0.796246649,0.742399464,746,Dinosaurs,1
Arekar_etal_inpressa.nex,0,0.075302197,746,Primates,0.456140351
Wang_etal_2017d.nex,0.802419355,0.743430309,744,Dinosaurs,1
Sigurdsen_et_Green_2011a.nex,0.190277778,0.206555556,720,Non_amniote_tetrapods,1
Sengupta_et_Bandyopadhyay_2021a.nex,0.624825662,0.579100683,717,Non_dinosaur_archosauro,0.993670886
Maidment_etal_2020a.nex,0.623066104,0.578230373,711,Non_dinosaur_archosauro,0.993589744
Scheyer_etal_2020ab.nex,0.623066104,0.578329547,711,Non_squamate_lepidosaurs,0.993589744
Ruta_etal_2003bb.nex,0.838028169,0.822647887,710,Fish_sarcopterygians,0.995555556
Hartman_etal_2019a.nex,0.721428571,0.679352723,700,Dinosaurs,1
Selles_etal_2021a.nex,0.721428571,0.679945931,700,Dinosaurs,1
Butler_etal_2019a.nex,0.630215827,0.586745438,695,Non_dinosaur_archosauro,1
Pinheiro_etal_2020ab.nex,0.630215827,0.586259469,695,Non_dinosaur_archosauro,1
Reeder_etal_2015a.nex,0.359623734,0.335134768,691,Squamata,1
